equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
;M3;MILL;;;;;;;WALDEN;;AVAILABLE
;M11;MILL;;;;;;;WALDEN;;AVAILABLE
;3TPH3;MILL;;;;;;;WALDEN;;AVAILABLE
;3TPH2;MILL;;;;;;;WALDEN;;AVAILABLE
;N2;MILL;;;;;;;WALDEN;Magaya Mining;AVAILABLE
;N5;MILL;;;;;;;WALDEN;;AVAILABLE
;M10;MILL;;;;;;;WALDEN;;AVAILABLE
;M13;MILL;;;;;;;WALDEN;;AVAILABLE
;N1;MILL;;;;;;;WALDEN;Magaya Mining;AVAILABLE
;M14;MILL;;;;;;;WALDEN;;AVAILABLE
;5TPH3;MILL;;;;;;;WALDEN;;AVAILABLE
;3TPH1;MILL;;;;;;;WALDEN;Magaya Mining;AVAILABLE
;N6;MILL;;;;;;;WALDEN;;AVAILABLE
;M16;MILL;;;;;;;WALDEN;;AVAILABLE
;CR2;CRUSHER;;;;;;;WALDEN;;AVAILABLE
;CR1;CRUSHER;;;;;;;WALDEN;Magaya Mining;AVAILABLE
;CR3;CRUSHER;;;;;;;WALDEN;;AVAILABLE
;3MMX435;;;;;;;;;;AVAILABLE
;3MMX411;;;;;;;;;;AVAILABLE
;3MMX423;;;;;;;;;;AVAILABLE
;3MMX406;;;;;;;;;;AVAILABLE
;1MMM315;;;;;;;;;;AVAILABLE
;2LLT356;;;;;;;;;;AVAILABLE
;1MMM318;;;;;;;;;;AVAILABLE
;2MAP311;;;;;;;;;;AVAILABLE
;1MMM269;;;;;;;;;;AVAILABLE
;1MMP263;;;;;;;;;;AVAILABLE
;1MMM280;;;;;;;;;;AVAILABLE
;1MMM270;;;;;;;;;;AVAILABLE
;2PAG256;;;;;;;;;;AVAILABLE
;2EGZ229;;;;;;;;;;AVAILABLE
;1MMP218;;;;;;;;;;AVAILABLE
;2SCB246;;;;;;;;;;AVAILABLE
;2WTP238;;;;;;;;;;AVAILABLE
;2MLC216;;;;;;;;;;AVAILABLE
;2VST193;;;;;;;;;;AVAILABLE
;2EGW199;;;;;;;;;;AVAILABLE
;1MMP206;;;;;;;;;;AVAILABLE
;2TIT178;;;;;;;;;;AVAILABLE
;2EST116;;;;;;;;;;AVAILABLE
;2EGT131;;;;;;;;;;AVAILABLE
;2EGZ135;;;;;;;;;;AVAILABLE
;2RAH167;;;;;;;;;;AVAILABLE
;2CRB96;;;;;;;;;;AVAILABLE
;1MMX69;;;;;;;;;;AVAILABLE
;1MMX71;;;;;;;;;;AVAILABLE
;1MMJ82;;;;;;;;;;AVAILABLE
;3MMX420;;;;;;;;;;AVAILABLE
;1MMM372;;;;;;;;;;AVAILABLE
;2PAZ351;;;;;;;;;;AVAILABLE
;3MMX429;;;;;;;;;;AVAILABLE
;1MMS44;;;;;;;;;;AVAILABLE
;2KCT340;;;;;;;;;;AVAILABLE
;3MMX393;;;;;;;;;;AVAILABLE
;1MMX60;;;;;;;;;;AVAILABLE
;2SCB550;;;;;;;;;;AVAILABLE
;2MLZ512;;;;;;;;;;AVAILABLE
;3MMQ453;;;;;;;;;;AVAILABLE
;3MMX431;;;;;;;;;;AVAILABLE
;3MMX388;;;;;;;;;;AVAILABLE
;2MIT371;;;;;;;;;;AVAILABLE
;2AAT353;;;;;;;;;;AVAILABLE
;1MMX373;;;;;;;;;;AVAILABLE
;2EGC319;;;;;;;;;;AVAILABLE
;2LLT355;;;;;;;;;;AVAILABLE
;2AAT350;;;;;;;;;;AVAILABLE
;2PAL336;;;;;;;;;;AVAILABLE
;1MMM290;;;;;;;;;;AVAILABLE
;2GCT323;;;;;;;;;;AVAILABLE
;1MMM266;;;;;;;;;;AVAILABLE
;1MMM291;;;;;;;;;;AVAILABLE
;2GCT322;;;;;;;;;;AVAILABLE
;1MMM302;;;;;;;;;;AVAILABLE
;1MMM283;;;;;;;;;;AVAILABLE
;1MMX250;;;;;;;;;;AVAILABLE
;2SDT176;;;;;;;;;;AVAILABLE
;2PAA236;;;;;;;;;;AVAILABLE
;1MMM303;;;;;;;;;;AVAILABLE
;2EGZ136;;;;;;;;;;AVAILABLE
;2EGL200;;;;;;;;;;AVAILABLE
;2LRT240;;;;;;;;;;AVAILABLE
;1MMP217;;;;;;;;;;AVAILABLE
;2RAL219;;;;;;;;;;AVAILABLE
;2EST115;;;;;;;;;;AVAILABLE
;1MMX73;;;;;;;;;;AVAILABLE
;2MLT702;;;;;;;;;;AVAILABLE
;2KCT693;;;;;;;;;;AVAILABLE
;2PAZ636;;;;;;;;;;AVAILABLE
;2PAZ576;;;;;;;;;;AVAILABLE
;2EGC633;;;;;;;;;;AVAILABLE
;2RUZ637;;;;;;;;;;AVAILABLE
;2RAL554;;;;;;;;;;AVAILABLE
;2RAZ602;;;;;;;;;;AVAILABLE
;2DNZ593;;;;;;;;;;AVAILABLE
;2PAT471;;;;;;;;;;AVAILABLE
;3MMQ461;;;;;;;;;;AVAILABLE
;2RAL467;;;;;;;;;;AVAILABLE
;3MMX419;;;;;;;;;;AVAILABLE
;3MMX426;;;;;;;;;;AVAILABLE
;2WTP654;;;;;;;;;;AVAILABLE
;2ESL562;;;;;;;;;;AVAILABLE
;2MLT543;;;;;;;;;;AVAILABLE
;2CCS99;;;;;;;;;;AVAILABLE
;2TMT688;;;;;;;;;;AVAILABLE
;2KHT560;;;;;;;;;;AVAILABLE
;2EGH541;;;;;;;;;;AVAILABLE
;2EST114;;;;;;;;;;AVAILABLE
;2EGT129;;;;;;;;;;AVAILABLE
;2WTP605;;;;;;;;;;AVAILABLE
;2PAZ595;;;;;;;;;;AVAILABLE
;2NTP552;;;;;;;;;;AVAILABLE
;2BRS519;;;;;;;;;;AVAILABLE
;2PAL530;;;;;;;;;;AVAILABLE
